LapNumber,Compound,TyreLife,LapTimeSeconds
15,HARD,29,75.381
75,HARD,19,75.323
24,HARD,24,74.708
2,MEDIUM,38,77.828
76,SOFT,33,80.153
60,HARD,42,76.522
62,HARD,47,77.13
51,SOFT,3,72.207
73,HARD,21,74.826
44,HARD,7,73.625
47,SOFT,8,73.622
4,MEDIUM,40,77.768
54,MEDIUM,6,73.088
44,HARD,18,74.599
62,MEDIUM,10,74.147
62,HARD,8,74.027
53,SOFT,16,75.811
29,SOFT,41,81.947
65,HARD,45,76.942
8,SOFT,44,82.499
8,HARD,11,73.988
41,SOFT,42,82.519
72,HARD,9,73.814
62,HARD,23,75.043
44,SOFT,35,80.671
47,SOFT,35,80.533
1,MEDIUM,3,72.381
27,MEDIUM,39,78.374
15,SOFT,15,75.083
52,HARD,32,75.441
4,SOFT,32,79.242
43,SOFT,15,75.46
13,SOFT,36,80.376
66,MEDIUM,28,76.606
62,MEDIUM,45,79.67
62,MEDIUM,11,74.332
27,SOFT,1,72.379
70,SOFT,3,72.698
62,HARD,9,73.884
52,HARD,32,75.644
58,SOFT,49,83.813
59,SOFT,17,75.955
2,SOFT,2,71.886
19,SOFT,1,71.907
53,MEDIUM,2,73.048
55,HARD,4,73.581
38,HARD,17,74.836
11,MEDIUM,22,74.976
16,HARD,48,76.684
3,MEDIUM,16,74.741
19,HARD,36,76.07
33,HARD,41,76.529
1,HARD,18,74.547
31,MEDIUM,23,75.966
7,MEDIUM,42,78.777
2,SOFT,49,84.099
12,SOFT,48,84.037
19,HARD,9,73.705
24,HARD,20,74.812
72,HARD,49,77.302
25,MEDIUM,40,78.844
33,SOFT,41,82.096
21,SOFT,14,74.799
17,HARD,3,72.874
76,SOFT,48,84.931
30,MEDIUM,46,79.349
51,MEDIUM,38,78.254
30,MEDIUM,21,75.65
64,SOFT,28,78.638
35,HARD,4,73.574
44,SOFT,17,75.776
24,SOFT,37,81.01
46,SOFT,49,84.157
33,SOFT,32,79.773
25,HARD,18,74.717
46,HARD,40,76.263
47,MEDIUM,32,77.513
33,SOFT,40,81.695
48,SOFT,43,82.084
50,MEDIUM,35,77.828
13,SOFT,24,76.969
14,MEDIUM,16,74.7
15,HARD,23,74.469
51,HARD,22,74.839
58,SOFT,22,77.06
15,MEDIUM,6,73.353
60,MEDIUM,43,79.341
68,SOFT,39,81.535
47,MEDIUM,45,79.046
30,SOFT,42,82.331
63,HARD,17,75.093
62,MEDIUM,37,77.97
12,HARD,9,73.243
34,SOFT,47,83.53
1,MEDIUM,48,80.043
76,HARD,3,73.99
51,MEDIUM,16,74.777
48,MEDIUM,26,76.849
33,SOFT,39,82.042
69,MEDIUM,10,74.001
10,MEDIUM,31,76.762
4,SOFT,5,73.413
32,HARD,2,73.291
33,MEDIUM,35,77.75
12,SOFT,43,82.468
44,MEDIUM,43,78.891
12,SOFT,13,74.712
8,SOFT,26,77.603
74,SOFT,26,78.131
75,SOFT,45,83.29
21,SOFT,36,80.519
24,SOFT,9,73.934
36,HARD,49,77.466
37,HARD,32,75.434
23,SOFT,13,74.593
62,SOFT,49,84.499
13,SOFT,22,76.752
19,SOFT,41,82.098
28,SOFT,7,73.93
12,SOFT,5,73.092
53,SOFT,21,77.082
58,SOFT,42,82.617
5,HARD,14,74.019
76,HARD,18,75.299
58,SOFT,10,74.043
13,HARD,46,76.701
50,MEDIUM,9,73.387
17,SOFT,1,71.94
45,HARD,7,73.521
61,HARD,19,75.162
74,MEDIUM,39,78.424
72,MEDIUM,20,75.591
39,SOFT,41,82.157
25,MEDIUM,49,80.226
6,SOFT,38,80.352
75,MEDIUM,21,75.942
19,SOFT,36,80.495
14,SOFT,49,84.186
1,HARD,31,75.6
12,HARD,11,74.296
16,MEDIUM,32,76.914
36,SOFT,8,73.943
58,MEDIUM,8,73.562
64,SOFT,41,81.939
73,HARD,17,74.98
46,SOFT,13,74.726
69,HARD,6,73.443
5,MEDIUM,45,79.489
65,HARD,33,76.021
26,HARD,21,74.626
59,HARD,25,75.296
1,MEDIUM,41,78.337
55,SOFT,48,84.158
3,HARD,5,73.33
53,SOFT,23,77.299
51,MEDIUM,1,72.319
4,SOFT,13,74.777
72,MEDIUM,28,76.444
34,HARD,26,75.477
65,MEDIUM,12,74.369
5,MEDIUM,44,78.606
14,HARD,15,74.831
51,MEDIUM,11,74.215
50,MEDIUM,38,78.404
30,MEDIUM,18,74.706
30,MEDIUM,38,78.038
51,HARD,42,76.869
74,MEDIUM,17,75.368
69,SOFT,20,76.774
43,SOFT,43,82.705
23,HARD,47,76.908
67,SOFT,3,72.48
32,HARD,29,75.189
5,HARD,21,74.32
42,MEDIUM,28,76.51
34,MEDIUM,46,79.027
45,SOFT,14,74.942
56,HARD,22,74.868
63,MEDIUM,43,79.129
14,HARD,22,74.624
2,MEDIUM,28,76.477
18,HARD,23,74.429
15,MEDIUM,38,77.971
57,MEDIUM,39,78.233
44,SOFT,39,81.285
10,SOFT,4,72.173
18,HARD,41,76.25
8,MEDIUM,47,79.037
42,SOFT,44,82.591
